customer_id,age,job,credit_amount,duration,housing,purpose,risk,is_default
1,56,skilled,14807,41,free,education,good,0
2,69,unemployed,13391,14,free,furniture,bad,1
3,46,unemployed,10157,31,free,furniture,bad,1
4,32,unemployed,13868,57,own,business,good,0
5,60,unemployed,19676,15,own,business,good,0
6,25,skilled,15693,36,rent,furniture,good,0
7,38,unemployed,7079,47,free,car,good,0
8,56,skilled,6997,20,rent,car,good,0
9,36,skilled,6086,22,rent,education,bad,1
10,40,unskilled,7504,32,free,car,good,0
11,28,unskilled,9361,59,own,furniture,good,0
12,28,unemployed,19341,41,free,business,good,0
13,41,highly skilled,6572,19,rent,furniture,bad,1
14,53,highly skilled,7706,58,free,vacation,good,0
15,57,unemployed,4592,33,free,vacation,good,0
16,41,skilled,2580,13,rent,vacation,good,0
17,20,unskilled,14657,55,rent,vacation,bad,1
18,39,unemployed,12562,33,free,business,good,0
19,19,unemployed,2243,49,rent,education,good,0
20,41,skilled,3749,35,own,education,good,0
21,61,unskilled,4979,46,free,car,good,0
22,47,highly skilled,8367,34,rent,vacation,good,0
23,55,highly skilled,8906,17,rent,vacation,good,0
24,19,unemployed,14012,40,own,car,good,0
25,38,unemployed,11136,24,free,furniture,good,0
26,50,unemployed,9375,59,own,vacation,bad,1
27,29,unemployed,6850,51,rent,business,good,0
28,39,unemployed,17454,10,free,car,good,0
29,61,highly skilled,8538,17,rent,education,bad,1
30,42,unemployed,6212,11,rent,business,good,0
31,66,unskilled,2976,10,rent,business,good,0
32,44,skilled,14640,29,free,vacation,good,0
33,59,highly skilled,1051,46,free,car,good,0
34,45,skilled,12869,23,free,education,good,0
35,33,skilled,10239,30,own,education,good,0
36,32,unemployed,16258,33,free,furniture,bad,1
37,64,skilled,2545,54,own,car,good,0
38,68,unskilled,12638,29,free,business,good,0
39,61,unemployed,7115,28,own,vacation,good,0
40,69,highly skilled,12507,6,rent,business,good,0
41,20,unskilled,5708,19,free,car,bad,1
42,54,highly skilled,715,24,own,furniture,good,0
43,68,unemployed,16845,43,rent,education,good,0
44,24,unemployed,11555,38,free,vacation,bad,1
45,38,highly skilled,9516,42,free,education,good,0
46,26,skilled,16720,11,rent,furniture,bad,1
47,56,highly skilled,13359,39,own,business,good,0
48,35,unskilled,15172,28,free,education,good,0
49,21,skilled,7401,32,free,car,good,0
50,42,unemployed,8990,19,rent,car,good,0
51,31,unskilled,1737,27,free,furniture,bad,1
52,67,unskilled,11333,43,free,education,good,0
53,26,unemployed,7502,19,free,business,good,0
54,43,skilled,6707,27,free,vacation,bad,1
55,19,unemployed,17653,50,rent,vacation,good,0
56,37,unskilled,7273,14,own,business,good,0
57,45,unskilled,7475,16,free,education,good,0
58,64,unskilled,10204,49,own,vacation,good,0
59,24,unemployed,9019,17,free,furniture,good,0
60,61,highly skilled,15688,30,free,vacation,good,0
61,25,unskilled,7179,7,rent,vacation,good,0
62,64,unskilled,1909,14,own,vacation,good,0
63,52,skilled,5209,55,own,furniture,bad,1
64,31,highly skilled,917,50,free,car,bad,1
65,34,skilled,10175,40,own,furniture,bad,1
66,53,unskilled,17253,37,rent,furniture,bad,1
67,67,highly skilled,18936,19,own,car,good,0
68,57,skilled,16992,34,rent,education,good,0
69,21,unemployed,2415,24,own,business,good,0
70,19,skilled,17066,41,free,furniture,good,0
71,23,highly skilled,14442,51,rent,furniture,good,0
72,59,skilled,3387,10,own,business,good,0
73,21,highly skilled,9889,22,free,furniture,good,0
74,46,highly skilled,9255,39,rent,business,good,0
75,35,skilled,12501,48,free,vacation,good,0
76,43,skilled,1143,27,rent,furniture,good,0
77,61,unemployed,1790,55,rent,vacation,bad,1
78,51,skilled,19401,16,rent,furniture,good,0
79,27,highly skilled,3676,35,rent,vacation,good,0
80,53,unskilled,15013,55,rent,car,good,0
81,31,skilled,8049,34,rent,car,bad,1
82,48,skilled,3684,20,own,business,good,0
83,65,highly skilled,12757,41,free,furniture,good,0
84,32,unskilled,622,44,free,furniture,good,0
85,25,unemployed,16971,22,rent,vacation,good,0
86,31,unskilled,13324,32,own,business,bad,1
87,40,highly skilled,1041,59,rent,furniture,good,0
88,57,highly skilled,8671,7,free,business,good,0
89,38,highly skilled,4547,11,own,furniture,good,0
90,33,highly skilled,12349,9,own,education,bad,1
91,62,unskilled,12754,28,free,furniture,good,0
92,35,unskilled,9583,52,rent,car,good,0
93,64,unskilled,6526,36,free,furniture,good,0
94,41,skilled,10300,53,rent,business,bad,1
95,43,highly skilled,5015,6,own,business,bad,1
96,42,skilled,14534,49,own,education,good,0
97,62,skilled,17575,59,own,car,bad,1
98,58,skilled,5112,56,free,vacation,good,0
99,46,unemployed,12607,52,free,furniture,bad,1
100,32,skilled,1779,18,rent,furniture,good,0
101,62,highly skilled,13441,11,own,vacation,good,0
102,18,skilled,1415,39,own,education,good,0
103,42,highly skilled,12295,42,rent,education,bad,1
104,24,unemployed,10655,21,rent,furniture,good,0
105,26,unskilled,7655,37,rent,car,bad,1
106,41,highly skilled,18188,49,free,furniture,good,0
107,18,skilled,15004,20,free,business,good,0
108,61,highly skilled,16225,57,own,vacation,bad,1
109,25,skilled,12146,9,rent,car,good,0
110,41,unskilled,13112,48,free,car,bad,1
111,28,highly skilled,18140,17,own,education,good,0
112,68,skilled,19701,15,own,business,bad,1
113,34,highly skilled,16911,7,rent,education,good,0
114,25,unskilled,6954,29,free,furniture,bad,1
115,52,unskilled,6511,21,own,business,good,0
116,52,unskilled,1896,40,own,furniture,good,0
117,50,highly skilled,12543,45,rent,furniture,bad,1
118,22,highly skilled,1567,22,own,furniture,bad,1
119,59,skilled,8702,52,own,education,bad,1
120,56,unskilled,13574,13,free,education,bad,1
121,58,skilled,14639,34,free,vacation,good,0
122,45,highly skilled,4283,39,free,business,good,0
123,24,unemployed,12986,47,own,car,bad,1
124,26,unskilled,8590,36,free,education,good,0
125,25,skilled,7681,59,free,education,good,0
126,29,unskilled,16851,22,free,business,bad,1
127,51,skilled,7120,9,free,furniture,good,0
128,50,skilled,13519,28,own,vacation,good,0
129,65,unemployed,6377,16,own,business,bad,1
130,40,highly skilled,2421,28,rent,furniture,good,0
131,41,unskilled,4519,59,rent,furniture,good,0
132,54,highly skilled,10834,10,own,education,good,0
133,52,skilled,8959,57,own,furniture,bad,1
134,61,highly skilled,5584,44,own,car,good,0
135,57,unemployed,16977,37,free,furniture,good,0
136,39,highly skilled,8989,10,own,vacation,good,0
137,44,skilled,9204,44,own,education,good,0
138,52,skilled,16221,22,free,vacation,good,0
139,18,unemployed,17792,28,rent,business,bad,1
140,52,unskilled,2753,39,own,business,bad,1
141,54,unemployed,18909,35,own,education,good,0
142,64,unskilled,14004,32,rent,business,good,0
143,31,skilled,6681,38,free,business,bad,1
144,20,highly skilled,13235,21,own,vacation,good,0
145,18,skilled,1319,49,own,education,good,0
146,22,unemployed,15087,36,own,education,good,0
147,43,unemployed,16707,9,own,car,good,0
148,31,highly skilled,4043,57,own,furniture,good,0
149,56,unemployed,7135,25,free,vacation,good,0
150,44,skilled,12254,53,own,furniture,bad,1
151,26,highly skilled,1166,37,own,business,bad,1
152,32,unskilled,2645,39,rent,business,good,0
153,32,unemployed,6320,56,rent,education,good,0
154,43,unskilled,758,50,free,car,good,0
155,59,highly skilled,10820,56,own,education,bad,1
156,30,unemployed,12657,21,rent,business,good,0
157,68,highly skilled,4033,52,own,car,good,0
158,49,unemployed,13646,34,own,education,good,0
159,56,unemployed,7002,54,own,car,bad,1
160,66,unemployed,13906,45,rent,car,bad,1
161,69,highly skilled,16146,34,free,business,good,0
162,49,highly skilled,6189,8,free,education,good,0
163,21,skilled,9873,47,own,vacation,good,0
164,47,skilled,19166,12,own,car,good,0
165,54,highly skilled,2374,47,rent,car,good,0
166,40,highly skilled,1456,45,own,business,good,0
167,56,unemployed,6031,26,own,car,good,0
168,62,skilled,16672,40,own,education,good,0
169,32,skilled,4989,42,own,vacation,good,0
170,60,highly skilled,2557,34,own,vacation,bad,1
171,46,skilled,16370,36,rent,furniture,good,0
172,53,highly skilled,19261,22,free,furniture,good,0
173,30,skilled,12623,48,rent,car,good,0
174,49,unskilled,12031,26,own,business,good,0
175,24,unskilled,17413,33,rent,car,good,0
176,68,skilled,15759,28,free,vacation,bad,1
177,39,highly skilled,11482,36,own,business,good,0
178,45,unskilled,17147,33,own,vacation,good,0
179,19,unemployed,977,52,rent,furniture,bad,1
180,59,highly skilled,9047,16,own,car,good,0
181,62,unskilled,12022,6,rent,vacation,good,0
182,23,unemployed,4672,29,free,business,good,0
183,45,unskilled,13641,18,own,vacation,bad,1
184,45,unskilled,18827,48,free,vacation,good,0
185,61,unemployed,18944,44,own,vacation,good,0
186,61,unemployed,18598,58,rent,vacation,good,0
187,37,skilled,14639,32,own,vacation,good,0
188,47,unskilled,9360,6,rent,education,good,0
189,28,unemployed,8001,14,rent,business,good,0
190,45,skilled,15023,45,rent,furniture,good,0
191,42,unemployed,5276,26,rent,education,bad,1
192,56,skilled,2243,15,free,vacation,good,0
193,50,skilled,6032,14,rent,car,good,0
194,18,unemployed,12421,8,free,car,bad,1
195,44,unemployed,17163,34,free,furniture,good,0
196,69,unskilled,13572,27,own,education,good,0
197,30,unskilled,19914,43,rent,education,good,0
198,58,skilled,12904,47,own,furniture,good,0
199,20,unemployed,18280,46,free,education,good,0
200,56,unskilled,12073,48,own,furniture,good,0
201,23,skilled,12958,35,rent,business,good,0
202,25,unskilled,3273,58,rent,furniture,good,0
203,44,skilled,3270,29,own,business,good,0
204,26,unskilled,4234,8,free,education,good,0
205,54,unemployed,10979,13,free,business,good,0
206,50,highly skilled,12396,50,own,furniture,good,0
207,68,highly skilled,16586,31,own,car,bad,1
208,59,skilled,17691,52,own,vacation,bad,1
209,61,highly skilled,18684,40,own,furniture,good,0
210,41,highly skilled,9867,44,rent,vacation,good,0
211,32,skilled,16703,56,rent,business,good,0
212,49,highly skilled,8767,36,free,car,good,0
213,49,unskilled,17619,38,rent,furniture,bad,1
214,41,unskilled,3189,46,own,business,good,0
215,58,unskilled,11577,40,free,education,good,0
216,69,unemployed,2807,21,rent,education,good,0
217,66,unskilled,15552,16,own,furniture,good,0
218,66,highly skilled,18033,54,rent,education,good,0
219,69,highly skilled,17431,20,free,education,good,0
220,29,unskilled,12316,30,own,business,bad,1
221,56,unemployed,14466,19,rent,vacation,bad,1
222,19,unskilled,4317,14,rent,business,good,0
223,20,unemployed,17297,15,own,business,good,0
224,66,unemployed,4311,28,own,car,bad,1
225,54,unskilled,1202,50,rent,car,good,0
226,66,unemployed,9463,11,own,furniture,good,0
227,34,highly skilled,18409,33,own,car,good,0
228,66,unskilled,14293,18,own,vacation,good,0
229,19,highly skilled,19508,50,own,furniture,good,0
230,19,unemployed,2062,18,rent,education,good,0
231,45,skilled,19887,51,rent,education,good,0
232,40,unskilled,11694,55,free,business,good,0
